Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A861066,"780 SOUTH HIGHWAY
AUSTIN 78741",Yes (come to the shelter),07/07/2022,Cat,Domestic Medium Hair,Calico,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861066
A861212,"13523 ABRAHAM LINCOLN STREET78653
(30.354466, -97.518409)",Yes (come to the shelter),07/09/2022,Dog,German Shepherd Mix,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861212
A860943,"6934 E BEN WHITE BLVD
AUSTIN 78744",Yes (come to the shelter),07/06/2022,Dog,Australian Shepherd Mix,Black/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860943
A861064,"SOUTH WILLIAM CANNON
AUSTIN 78744",No (contact for more info),07/07/2022,Cat,Domestic Shorthair,Blue Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861064
A861106,"7201 LEVANDER LOOP
AUSTIN 78702
(30.251079, -97.691727)",Yes (come to the shelter),07/07/2022,Dog,Miniature Poodle Mix,White,Spayed Female,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861106
A860946,"6934 E BEN WHITE BLVD
AUSTIN 78744",Yes (come to the shelter),07/06/2022,Dog,Australian Shepherd Mix,Black,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860946
A860945,"6934 E BEN WHITE BLVD
AUSTIN 78744",Yes (come to the shelter),07/06/2022,Dog,Australian Shepherd Mix,White/Brown,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860945
A860947,"6934 E BEN WHITE BLVD
AUSTIN 78744",Yes (come to the shelter),07/06/2022,Dog,Australian Shepherd Mix,White/Tan,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860947
A860944,"6934 E BEN WHITE BLVD
AUSTIN 78744",Yes (come to the shelter),07/06/2022,Dog,Australian Shepherd Mix,White/Brown,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860944
A861098,"607 S I-35 FRONTAGE RD
AUSTIN 78744",Yes (come to the shelter),07/07/2022,Dog,Chihuahua Shorthair Mix,Cream,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861098
A861047,"2409 EAST 11TH STREET
AUSTIN 78702
(30.266066, -97.716108)",Yes (come to the shelter),07/07/2022,Dog,Pit Bull,Tan/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A861047
A861126,"183 AND LAKECREEK PARKWAY
AUSTIN 78729",Yes (come to the shelter),07/08/2022,Dog,Siberian Husky,Gray,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A861126
A861041,SPEIDEL78660,Yes (come to the shelter),07/07/2022,Dog,Alaskan Husky Mix,White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861041
A860957,"13021 DESSAU
AUSTIN 78754
(30.399452, -97.641013)",Yes (come to the shelter),07/06/2022,Dog,Labrador Retriever Mix,Brown/Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860957
A860958,"13021 DESSAU
AUSTIN 78754
(30.399452, -97.641013)",Yes (come to the shelter),07/06/2022,Dog,Labrador Retriever Mix,Black/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860958
A860959,"13021 DESSAU
AUSTIN 78754
(30.399452, -97.641013)",Yes (come to the shelter),07/06/2022,Dog,Labrador Retriever Mix,Brown/Black,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860959
A860960,"13021 DESSAU
AUSTIN 78754
(30.399452, -97.641013)",Yes (come to the shelter),07/06/2022,Dog,Labrador Retriever Mix,Black/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860960
A860869,"550 N SH
SVRD SB AUSTIN 78724",Yes (come to the shelter),07/05/2022,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860869
